free fall at 7s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
3,410	-0,083	-0,407	-0,815	43,365	-14,313	46,722
3,420	-0,073	-0,395	-0,772	48,706	-10,162	42,755
3,430	-0,065	-0,378	-0,741	58,777	-5,371	38,422
3,440	-0,057	-0,367	-0,736	70,190	-5,096	33,569
3,450	-0,058	-0,350	-0,753	77,850	-8,942	25,787
3,460	-0,077	-0,340	-0,769	80,994	-15,442	17,029
3,470	-0,097	-0,338	-0,752	80,933	-20,233	10,223
3,480	-0,116	-0,350	-0,713	78,979	-22,064	7,263
3,490	-0,122	-0,373	-0,678	77,301	-23,163	7,355
3,500	-0,128	-0,394	-0,663	77,545	-22,369	9,705
3,510	-0,141	-0,406	-0,645	81,360	-19,104	13,458
3,520	-0,174	-0,450	-0,630	87,799	-14,343	18,280
3,530	-0,214	-0,570	-0,601	98,999	-14,374	19,379
3,540	-0,201	-0,635	-0,548	116,364	-22,461	16,785
3,550	-0,159	-0,569	-0,533	130,585	-30,426	18,127
3,560	-0,123	-0,516	-0,583	133,087	-33,844	25,909
3,570	-0,066	-0,508	-0,655	124,908	-33,234	34,302
3,580	-0,015	-0,518	-0,701	108,612	-26,733	39,825
3,590	-0,001	-0,533	-0,714	86,823	-14,923	41,565
3,600	-0,021	-0,546	-0,711	64,789	0,427	41,870
3,610	-0,035	-0,560	-0,688	45,013	11,627	43,274
3,620	-0,028	-0,589	-0,659	28,412	17,303	44,250
3,630	-0,021	-0,626	-0,632	17,517	21,057	42,328
3,640	-0,021	-0,663	-0,600	13,641	22,064	36,377
3,650	-0,022	-0,690	-0,563	16,663	19,989	27,100
3,660	-0,026	-0,698	-0,519	25,482	15,961	16,296
3,670	-0,026	-0,695	-0,463	38,361	8,789	5,524
3,680	-0,024	-0,682	-0,417	54,138	-1,068	-4,700
3,690	-0,030	-0,670	-0,382	71,808	-11,322	-15,747
3,700	-0,047	-0,678	-0,363	88,806	-20,935	-27,039
3,710	-0,065	-0,695	-0,365	101,990	-30,121	-36,285
3,720	-0,074	-0,701	-0,391	108,124	-37,506	-42,542
3,730	-0,078	-0,706	-0,430	105,377	-41,382	-45,044
3,740	-0,083	-0,711	-0,469	94,421	-41,168	-44,250
3,750	-0,091	-0,699	-0,505	78,247	-37,811	-42,419
3,760	-0,097	-0,669	-0,531	59,723	-32,318	-40,161
3,770	-0,124	-0,651	-0,521	40,314	-25,574	-36,652
3,780	-0,150	-0,657	-0,491	23,590	-18,921	-31,525
3,790	-0,171	-0,654	-0,471	12,817	-11,444	-24,170
3,800	-0,188	-0,637	-0,464	7,874	-5,493	-15,106
3,810	-0,196	-0,639	-0,469	6,744	-2,350	-5,371
3,820	-0,187	-0,654	-0,469	8,179	-0,824	2,930
3,830	-0,164	-0,665	-0,461	13,306	0,610	7,965
3,840	-0,141	-0,675	-0,448	21,454	1,068	9,827
3,850	-0,125	-0,693	-0,440	29,785	0,702	8,942
3,860	-0,108	-0,708	-0,449	36,804	-0,427	6,592
3,870	-0,108	-0,706	-0,469	41,748	-1,404	3,998
3,880	-0,136	-0,715	-0,492	41,840	-2,350	1,373
3,890	-0,168	-0,725	-0,509	37,811	-3,784	0,092
3,900	-0,190	-0,719	-0,514	33,142	-5,402	0,244
3,910	-0,206	-0,720	-0,504	29,083	-6,927	1,495
3,920	-0,203	-0,741	-0,483	25,818	-8,942	3,571
3,930	-0,185	-0,762	-0,463	24,567	-10,529	4,639
3,940	-0,168	-0,781	-0,459	25,909	-10,956	3,296
3,950	-0,157	-0,793	-0,464	29,510	-11,261	-0,793
3,960	-0,152	-0,809	-0,472	34,790	-12,054	-6,927
3,970	-0,156	-0,828	-0,483	39,734	-12,817	-13,855
3,980	-0,163	-0,849	-0,484	41,718	-13,153	-19,470
3,990	-0,172	-0,872	-0,471	39,612	-12,604	-22,339
4,000	-0,167	-0,886	-0,448	35,339	-12,085	-22,949
4,010	-0,149	-0,892	-0,426	31,464	-11,841	-23,224
4,020	-0,132	-0,904	-0,411	28,442	-11,536	-24,750
4,030	-0,117	-0,915	-0,401	25,482	-11,108	-27,130
4,040	-0,112	-0,919	-0,388	22,156	-10,284	-29,633
4,050	-0,114	-0,922	-0,371	18,341	-9,094	-31,647
4,060	-0,118	-0,915	-0,349	14,832	-7,507	-32,288
4,070	-0,125	-0,906	-0,331	12,878	-5,951	-31,342
4,080	-0,127	-0,907	-0,327	11,841	-4,730	-29,053
4,090	-0,127	-0,911	-0,335	9,827	-3,601	-25,726
4,100	-0,128	-0,907	-0,344	7,294	-2,472	-22,278
4,110	-0,129	-0,897	-0,352	6,989	-1,495	-19,440
4,120	-0,130	-0,892	-0,364	9,125	-1,160	-17,517
4,130	-0,132	-0,891	-0,384	12,207	-1,526	-16,602
4,140	-0,134	-0,888	-0,407	15,137	-2,289	-16,418
4,150	-0,137	-0,886	-0,424	17,944	-3,052	-16,449
4,160	-0,140	-0,890	-0,431	20,447	-3,113	-16,174
4,170	-0,135	-0,895	-0,426	21,881	-2,563	-15,045
4,180	-0,121	-0,898	-0,412	21,667	-2,014	-13,519
4,190	-0,104	-0,893	-0,391	20,172	-1,556	-12,482
4,200	-0,091	-0,890	-0,369	17,731	-1,312	-12,024
4,210	-0,079	-0,891	-0,346	14,648	-0,977	-11,902
4,220	-0,070	-0,894	-0,326	11,139	-0,275	-11,719
4,230	-0,062	-0,897	-0,313	8,270	0,824	-11,505
4,240	-0,063	-0,897	-0,313	7,050	2,502	-11,597
4,250	-0,072	-0,901	-0,324	7,355	3,906	-12,177
4,260	-0,082	-0,904	-0,344	9,308	4,089	-12,970
