potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
2,270	0,067	0,162	-0,985	-5,127	1,343	-0,916
2,280	0,065	0,163	-0,982	-5,280	1,312	-0,458
2,290	0,066	0,164	-0,979	-5,798	1,648	-0,549
2,300	0,074	0,158	-0,985	-6,470	1,648	-1,099
2,310	0,085	0,159	-0,990	-6,836	1,801	-2,106
2,320	0,090	0,167	-0,994	-7,202	2,808	-3,387
2,330	0,085	0,171	-0,992	-7,935	4,089	-4,425
2,340	0,082	0,175	-0,980	-8,423	4,791	-5,066
2,350	0,086	0,178	-0,974	-8,881	4,242	-5,402
2,360	0,090	0,177	-0,977	-10,040	2,869	-5,554
2,370	0,083	0,177	-0,978	-11,932	2,014	-5,615
2,380	0,073	0,175	-0,978	-13,855	1,495	-5,402
2,390	0,068	0,172	-0,983	-15,076	1,465	-4,852
2,400	0,064	0,168	-0,980	-15,228	1,434	-4,150
2,410	0,062	0,174	-0,968	-14,740	0,000	-3,082
2,420	0,062	0,187	-0,965	-13,184	-2,289	-1,984
2,430	0,060	0,203	-0,977	-11,169	-4,181	-1,007
2,440	0,060	0,207	-1,001	-9,491	-3,784	-0,336
2,450	0,057	0,195	-1,006	-8,667	-0,854	-0,458
2,460	0,051	0,168	-0,993	-7,751	2,686	-1,556
2,470	0,051	0,153	-0,977	-5,066	4,089	-3,632
2,480	0,052	0,160	-0,978	-0,946	4,150	-5,707
2,490	0,054	0,173	-0,976	3,754	3,601	-7,172
2,500	0,060	0,191	-0,962	9,308	2,136	-7,660
2,510	0,071	0,211	-0,966	16,602	0,031	-7,629
2,520	0,070	0,216	-0,996	24,170	-1,770	-7,355
2,530	0,052	0,192	-1,033	31,097	-2,350	-6,561
2,540	0,036	0,151	-1,072	37,964	-1,709	-5,829
2,550	0,033	0,102	-1,118	44,495	-0,519	-5,890
2,560	0,027	0,048	-1,181	50,751	1,373	-7,233
2,570	0,022	-0,026	-1,261	56,915	3,021	-9,827
2,580	0,024	-0,079	-1,375	63,019	5,432	-12,360
2,590	0,044	-0,098	-1,537	65,857	8,820	-14,984
2,600	0,038	-0,116	-1,714	62,744	13,397	-15,228
2,610	0,031	-0,108	-1,830	54,504	16,327	-12,573
2,620	0,040	-0,097	-1,876	41,840	16,113	-8,179
2,630	0,060	-0,064	-1,851	27,100	14,404	-3,052
2,640	0,081	-0,020	-1,763	11,322	13,031	1,892
2,650	0,098	0,017	-1,644	-4,089	12,512	5,737
2,660	0,113	0,049	-1,511	-16,510	11,902	8,057
2,670	0,117	0,092	-1,385	-24,841	11,444	9,216
2,680	0,114	0,148	-1,271	-30,304	11,536	9,918
2,690	0,114	0,205	-1,167	-35,583	12,482	10,590
2,700	0,121	0,242	-1,070	-41,351	14,130	10,956
